feature,split,dtype,n_missing,missing_pct,missing_status,n_infinite,n_unique,is_constant,is_near_zero_variance,mean,std,min,max,distribution_shift_z,distribution_shift_flag
demand_lag_1_Rangpur,validation,float32,0,0.0,ok,0,194,False,False,0.70517,0.748973,-0.898562,2.654424,0.7049,False
demand_lag_1_Rangpur,test,float32,0,0.0,ok,0,206,False,False,1.10158,0.837123,-0.747371,2.479973,1.1012,False
demand_lag_1_Cumilla,train,float32,1,0.0772,expected_warmup,0,595,False,False,0.0,1.000387,-1.900946,2.607354,,
demand_lag_1_Cumilla,validation,float32,0,0.0,ok,0,216,False,False,0.371071,1.041287,-1.501534,2.318125,0.3709,False
demand_lag_1_Cumilla,test,float32,0,0.0,ok,0,215,False,False,1.076656,0.952619,-1.143441,2.804764,1.0762,False
demand_lag_1_Khulna,train,float32,1,0.0772,expected_warmup,0,628,False,False,0.0,1.000386,-1.988253,2.883032,,
demand_lag_1_Khulna,validation,float32,0,0.0,ok,0,219,False,False,0.383164,1.077555,-1.46019,2.391809,0.383,False
demand_lag_1_Khulna,test,float32,0,0.0,ok,0,228,False,False,1.130594,1.110386,-1.247327,3.210513,1.1302,False
demand_lag_7_Dhaka,train,float32,7,0.5405,expected_warmup,0,1009,False,False,0.0,1.000388,-2.407742,2.77761,,
demand_lag_7_Dhaka,validation,float32,0,0.0,ok,0,247,False,False,0.759935,0.88171,-1.661086,2.417793,0.7596,False
demand_lag_7_Dhaka,test,float32,0,0.0,ok,0,255,False,False,1.349672,0.932328,-1.383756,3.089072,1.3491,False
demand_lag_7_Chattogram,train,float32,7,0.5405,expected_warmup,0,565,False,False,0.0,1.000389,-2.921751,2.983716,,
demand_lag_7_Chattogram,validation,float32,0,0.0,ok,0,215,False,False,0.344494,0.933716,-2.060778,2.58501,0.3444,False
demand_lag_7_Chattogram,test,float32,0,0.0,ok,0,204,False,False,0.857119,0.864016,-1.685186,2.712134,0.8568,False
demand_lag_7_Rajshahi,train,float32,7,0.5405,expected_warmup,0,592,False,False,-0.0,1.000389,-2.012006,3.302904,,
demand_lag_7_Rajshahi,validation,float32,0,0.0,ok,0,222,False,False,0.338079,1.175782,-1.700252,2.880527,0.3379,False
demand_lag_7_Rajshahi,test,float32,0,0.0,ok,0,233,False,False,1.140357,1.274451,-1.539346,3.695111,1.1399,False
demand_lag_7_Mymensingh,train,float32,7,0.5405,expected_warmup,0,513,False,False,0.0,1.000389,-2.107578,2.597695,,
demand_lag_7_Mymensingh,validation,float32,0,0.0,ok,0,203,False,False,0.629313,1.10704,-1.490933,2.731749,0.6291,False
demand_lag_7_Mymensingh,test,float32,0,0.0,ok,0,200,False,False,1.42644,1.089625,-1.028448,3.830986,1.4259,False
demand_lag_7_Sylhet,train,float32,7,0.5405,expected_warmup,0,327,False,False,-0.0,1.000389,-1.885998,2.44733,,
demand_lag_7_Sylhet,validation,float32,0,0.0,ok,0,171,False,False,0.437668,1.114568,-1.282906,2.480836,0.4375,False
demand_lag_7_Sylhet,test,float32,0,0.0,ok,0,197,False,False,1.111304,1.063805,-1.093044,3.307295,1.1109,False
demand_lag_7_Barishal,train,float32,7,0.5405,expected_warmup,0,261,False,False,0.0,1.000389,-1.813753,3.311888,,
demand_lag_7_Barishal,validation,float32,0,0.0,ok,0,146,False,False,0.712006,1.129065,-1.180413,2.884752,0.7117,False
demand_lag_7_Barishal,test,float32,0,0.0,ok,0,164,False,False,1.49012,1.155043,-2.771129,3.797941,1.4895,False
demand_lag_7_Rangpur,train,float32,7,0.5405,expected_warmup,0,434,False,False,-0.0,1.000388,-2.833969,2.216705,,
demand_lag_7_Rangpur,validation,float32,0,0.0,ok,0,194,False,False,0.728563,0.755358,-0.894091,2.665266,0.7283,False
demand_lag_7_Rangpur,test,float32,0,0.0,ok,0,209,False,False,1.121267,0.827199,-0.742629,2.490502,1.1208,False
demand_lag_7_Cumilla,train,float32,7,0.5405,expected_warmup,0,594,False,False,0.0,1.000388,-1.897883,2.615124,,
demand_lag_7_Cumilla,validation,float32,0,0.0,ok,0,219,False,False,0.385083,1.047475,-1.498055,2.325593,0.3849,False
demand_lag_7_Cumilla,test,float32,0,0.0,ok,0,216,False,False,1.110898,0.92371,-1.139588,2.81274,1.1105,False
demand_lag_7_Khulna,train,float32,7,0.5405,expected_warmup,0,623,False,False,0.0,1.000389,-1.988331,2.900154,,
demand_lag_7_Khulna,validation,float32,0,0.0,ok,0,218,False,False,0.408395,1.095265,-1.458403,2.407197,0.4082,False
demand_lag_7_Khulna,test,float32,0,0.0,ok,0,229,False,False,1.172205,1.08185,-1.244788,3.228791,1.1717,False
load_lag_1_Dhaka,train,float32,1,0.0772,expected_warmup,0,111,False,False,-0.0,1.000388,-0.22391,20.503553,,
load_lag_1_Dhaka,validation,float32,0,0.0,ok,0,31,False,False,-0.144858,0.1978,-0.22391,1.204856,0.1448,False
load_lag_1_Dhaka,test,float32,0,0.0,ok,0,81,False,False,0.443473,0.993816,-0.22391,5.584335,0.4433,False
load_lag_1_Chattogram,train,float32,1,0.0772,expected_warmup,0,45,False,False,0.0,1.000386,-0.158799,16.601917,,
load_lag_1_Chattogram,validation,float32,0,0.0,ok,0,7,False,False,-0.097565,0.499193,-0.158799,6.042666,0.0975,False
load_lag_1_Chattogram,test,float32,0,0.0,ok,0,26,False,False,0.265886,1.333497,-0.158799,7.350002,0.2658,False
load_lag_1_Rajshahi,train,float32,1,0.0772,expected_warmup,0,76,False,False,-0.0,1.000386,-0.25996,8.674265,,
load_lag_1_Rajshahi,validation,float32,0,0.0,ok,0,23,False,False,-0.101139,0.558294,-0.25996,3.328788,0.1011,False
load_lag_1_Rajshahi,test,float32,0,0.0,ok,0,31,False,False,0.243768,1.355341,-0.25996,8.021766,0.2437,False
load_lag_1_Mymensingh,train,float32,1,0.0772,expected_warmup,0,134,False,False,0.0,1.000386,-0.378083,10.121294,,
load_lag_1_Mymensingh,validation,float32,0,0.0,ok,0,81,False,False,0.271641,0.893645,-0.378083,4.358478,0.2715,False
load_lag_1_Mymensingh,test,float32,0,0.0,ok,0,84,False,False,0.900561,1.409925,-0.378083,5.147905,0.9002,False
load_lag_1_Sylhet,train,float32,1,0.0772,expected_warmup,0,63,False,False,0.0,1.000383,-0.2324,14.964543,,
load_lag_1_Sylhet,validation,float32,0,0.0,ok,0,38,False,False,0.196626,1.038334,-0.2324,5.846377,0.1966,False
load_lag_1_Sylhet,test,float32,0,0.0,ok,0,34,False,False,0.278486,1.265294,-0.2324,5.846377,0.2784,False
load_lag_1_Barishal,train,float32,1,0.0772,expected_warmup,0,12,False,False,-0.0,1.000387,-0.089903,18.510021,,
load_lag_1_Barishal,validation,float32,0,0.0,ok,0,4,False,False,-0.027028,0.608191,-0.089903,6.673706,0.027,False
load_lag_1_Barishal,test,float32,0,0.0,ok,0,10,False,False,0.277473,1.861119,-0.089903,11.746413,0.2774,False
load_lag_1_Rangpur,train,float32,1,0.0772,expected_warmup,0,77,False,False,0.0,1.000389,-0.268089,8.364915,,
load_lag_1_Rangpur,validation,float32,0,0.0,ok,0,46,False,False,0.25738,1.27212,-0.268089,6.079708,0.2573,False
load_lag_1_Rangpur,test,float32,0,0.0,ok,0,56,False,False,0.836953,1.638393,-0.268089,7.349267,0.8366,False
load_lag_1_Cumilla,train,float32,1,0.0772,expected_warmup,0,80,False,False,0.0,1.000386,-0.273562,9.012506,,
load_lag_1_Cumilla,validation,float32,0,0.0,ok,0,43,False,False,0.075618,0.820838,-0.273562,4.17953,0.0756,False
load_lag_1_Cumilla,test,float32,0,0.0,ok,0,57,False,False,0.448097,1.326618,-0.273562,5.846801,0.4479,False
load_lag_1_Khulna,train,float32,1,0.0772,expected_warmup,0,70,False,False,0.0,1.000389,-0.240235,8.357872,,
load_lag_1_Khulna,validation,float32,0,0.0,ok,0,20,False,False,-0.092795,0.648033,-0.240235,3.843865,0.0928,False
load_lag_1_Khulna,test,float32,0,0.0,ok,0,31,False,False,0.095338,1.110377,-0.240235,6.896194,0.0953,False
demand_rolling_mean_7_Dhaka,train,float32,7,0.5405,expected_warmup,0,1231,False,False,0.0,1.000389,-2.28857,2.499378,,
demand_rolling_mean_7_Dhaka,validation,float32,0,0.0,ok,0,271,False,False,0.8069,0.827929,-1.284318,2.080594,0.8066,False
demand_rolling_mean_7_Dhaka,test,float32,0,0.0,ok,0,274,False,False,1.436364,0.842126,-0.918619,2.875563,1.4358,False
demand_rolling_mean_7_Chattogram,train,float32,7,0.5405,expected_warmup,0,1118,False,False,0.0,1.000388,-2.567755,2.108209,,
demand_rolling_mean_7_Chattogram,validation,float32,0,0.0,ok,0,258,False,False,0.365118,0.935383,-1.412154,2.175385,0.365,False
demand_rolling_mean_7_Chattogram,test,float32,0,0.0,ok,0,267,False,False,0.928503,0.794938,-1.087169,2.322445,0.9281,False
demand_rolling_mean_7_Rajshahi,train,float32,7,0.5405,expected_warmup,0,1108,False,False,0.0,1.000389,-1.726792,2.926289,,
