timestep,alpha_t,date
0,0.12367392,2024-10-27
1,0.11590736,2024-10-27
2,0.12742381,2024-10-27
3,0.16609168,2024-10-27
4,0.19157173,2024-10-27
5,0.14470574,2024-10-27
6,0.13062578,2024-10-27
