timestep,alpha_t,date
0,0.14118369,2023-07-19
1,0.14310585,2023-07-19
2,0.13778283,2023-07-19
3,0.14177865,2023-07-19
4,0.14245600,2023-07-19
5,0.14466903,2023-07-19
6,0.14902402,2023-07-19
