component,raw,normalized,driver,date
c1,0.02854812,0.08142224,c2_reserve,2023-07-19
c2,1.02921841,0.53990369,c2_reserve,2023-07-19
c3,0.23328242,0.10870175,c2_reserve,2023-07-19
