node,shap_mass,attention_inflow,attention_outflow,demand_share,contribution,date
Barishal,11.27601051,1.73020399,1.00000000,,0.013076,2023-07-19
Chattogram,7.49779034,1.04557562,1.00000000,,0.008695,2023-07-19
Cumilla,31.43658447,1.18572128,1.00000000,,0.036456,2023-07-19
Dhaka,325.93765259,0.73576164,1.00000000,,0.377978,2023-07-19
Khulna,175.61221313,0.98437238,1.00000000,,0.203651,2023-07-19
Mymensingh,131.39332581,0.97398609,1.00000012,,0.152372,2023-07-19
Rajshahi,162.56497192,0.81507885,1.00000000,,0.188521,2023-07-19
Rangpur,3.49186182,0.02932407,0.99999994,,0.004049,2023-07-19
Sylhet,13.10920143,1.49997628,1.00000000,,0.015202,2023-07-19
