timestep,alpha_t,date
0,0.18402137,2024-02-07
1,0.23390794,2024-02-07
2,0.12379683,2024-02-07
3,0.12280864,2024-02-07
4,0.11261740,2024-02-07
5,0.11423183,2024-02-07
6,0.10861602,2024-02-07
