node,shap_mass,attention_inflow,attention_outflow,demand_share,contribution,date
Barishal,3.20476317,1.26687217,1.00000000,,0.011581,2024-02-07
Chattogram,4.25970173,0.96312296,1.00000012,,0.015394,2024-02-07
Cumilla,5.37107754,1.25243533,1.00000000,,0.019410,2024-02-07
Dhaka,145.55882263,0.66647351,1.00000000,,0.526016,2024-02-07
Khulna,52.65833664,1.12824571,1.00000000,,0.190295,2024-02-07
Mymensingh,26.24151611,1.05003643,1.00000000,,0.094831,2024-02-07
Rajshahi,30.48102570,0.81770414,0.99999994,,0.110151,2024-02-07
Rangpur,1.67727256,0.57781225,1.00000000,,0.006061,2024-02-07
Sylhet,7.26687908,1.27729750,1.00000000,,0.026261,2024-02-07
