component,raw,normalized,driver,date
c1,0.00623599,0.01778571,c2_reserve,2024-02-07
c2,1.00621348,0.49312156,c2_reserve,2024-02-07
c3,0.47101920,0.42150647,c2_reserve,2024-02-07
