node,shap_mass,attention_inflow,attention_outflow,demand_share,contribution,date
Barishal,2.12372923,1.23813140,1.00000000,,0.003616,2023-11-16
Chattogram,2.58567214,0.91602981,1.00000000,,0.004403,2023-11-16
Cumilla,12.46389866,1.23576021,1.00000000,,0.021225,2023-11-16
Dhaka,325.94104004,0.76602787,1.00000000,,0.555039,2023-11-16
Khulna,92.96013641,1.13928926,1.00000000,,0.158300,2023-11-16
Mymensingh,73.66215515,0.88512790,0.99999994,,0.125438,2023-11-16
Rajshahi,75.70510101,0.82485116,0.99999994,,0.128917,2023-11-16
Rangpur,0.40723628,0.59885257,0.99999994,,0.000693,2023-11-16
Sylhet,1.39073801,1.39592981,1.00000000,,0.002368,2023-11-16
