timestep,alpha_t,date
0,0.19787309,2023-11-16
1,0.13622884,2023-11-16
2,0.12871435,2023-11-16
3,0.12783778,2023-11-16
4,0.12409868,2023-11-16
5,0.11915767,2023-11-16
6,0.16608962,2023-11-16
