component,raw,normalized,driver,date
c1,0.00000000,0.00000000,c2_reserve,2023-11-16
c2,1.24991503,0.98870582,c2_reserve,2023-11-16
c3,0.67429478,0.68896851,c2_reserve,2023-11-16
