node,shap_mass,attention_inflow,attention_outflow,demand_share,contribution,date
Barishal,3.36991429,1.25766468,1.00000000,,0.009028,2024-01-19
Chattogram,6.08428144,0.91536725,1.00000000,,0.016300,2024-01-19
Cumilla,6.41530323,1.35967469,1.00000000,,0.017187,2024-01-19
Dhaka,175.94987488,0.60697490,1.00000000,,0.471389,2024-01-19
Khulna,71.94223785,1.09135771,1.00000000,,0.192741,2024-01-19
Mymensingh,24.67759705,1.21843529,1.00000012,,0.066114,2024-01-19
Rajshahi,77.16752625,0.78970736,1.00000000,,0.206740,2024-01-19
Rangpur,1.06585169,0.53165758,0.99999994,,0.002856,2024-01-19
Sylhet,6.58615303,1.22916067,1.00000000,,0.017645,2024-01-19
