timestep,alpha_t,date
0,0.15343522,2024-01-19
1,0.13341570,2024-01-19
2,0.14025944,2024-01-19
3,0.13169588,2024-01-19
4,0.12540241,2024-01-19
5,0.12469824,2024-01-19
6,0.19109307,2024-01-19
