component,raw,normalized,driver,date
c1,0.06307504,0.17989660,c3_limitation,2024-01-19
c2,1.06595875,0.61461776,c3_limitation,2024-01-19
c3,0.80202165,0.85702651,c3_limitation,2024-01-19
