node,shap_mass,attention_inflow,attention_outflow,demand_share,contribution,date
Barishal,1.64684570,1.29399073,1.00000000,,0.005379,2024-02-05
Chattogram,5.09211731,0.93885779,1.00000000,,0.016633,2024-02-05
Cumilla,3.22203445,1.24450064,0.99999994,,0.010525,2024-02-05
Dhaka,164.82257080,0.67437464,1.00000012,,0.538381,2024-02-05
Khulna,57.39050674,1.10371864,1.00000000,,0.187462,2024-02-05
Mymensingh,12.89043427,1.13293564,0.99999994,,0.042106,2024-02-05
Rajshahi,53.42552567,0.79456538,1.00000000,,0.174511,2024-02-05
Rangpur,1.29843926,0.55703592,1.00000000,,0.004241,2024-02-05
Sylhet,6.35641384,1.26002049,1.00000000,,0.020763,2024-02-05
