timestep,alpha_t,date
0,0.15294050,2024-02-05
1,0.11471195,2024-02-05
2,0.15255587,2024-02-05
3,0.24262652,2024-02-05
4,0.11754378,2024-02-05
5,0.11189133,2024-02-05
6,0.10773004,2024-02-05
