component,raw,normalized,driver,date
c1,0.00000000,0.00000000,c3_limitation,2024-02-05
c2,1.00000000,0.48048600,c3_limitation,2024-02-05
c3,0.63280676,0.63438020,c3_limitation,2024-02-05
