node,shap_mass,attention_inflow,attention_outflow,demand_share,contribution,date
Barishal,9.19208431,1.30321193,1.00000000,,0.010792,2023-07-28
Chattogram,6.53342295,0.91426063,0.99999994,,0.007671,2023-07-28
Cumilla,12.94051170,1.25024235,1.00000000,,0.015193,2023-07-28
Dhaka,367.84902954,0.71972299,0.99999994,,0.431892,2023-07-28
Khulna,138.63134766,1.04210138,1.00000000,,0.162767,2023-07-28
Mymensingh,154.46060181,1.03380144,1.00000000,,0.181352,2023-07-28
Rajshahi,145.46411133,0.77554148,0.99999994,,0.170790,2023-07-28
Rangpur,2.23639297,0.01986231,1.00000000,,0.002626,2023-07-28
Sylhet,14.40753651,1.94125569,1.00000000,,0.016916,2023-07-28
