timestep,alpha_t,date
0,0.14211154,2023-07-28
1,0.14472935,2023-07-28
2,0.14468957,2023-07-28
3,0.14281911,2023-07-28
4,0.14084469,2023-07-28
5,0.14169224,2023-07-28
6,0.14311351,2023-07-28
