component,raw,normalized,driver,date
c1,0.00829703,0.02366401,c2_reserve,2023-07-29
c2,1.00763612,0.49601459,c2_reserve,2023-07-29
c3,0.18227092,0.04158281,c2_reserve,2023-07-29
