timestep,alpha_t,date
0,0.14484824,2023-07-29
1,0.14462210,2023-07-29
2,0.14279632,2023-07-29
3,0.14085852,2023-07-29
4,0.14194611,2023-07-29
5,0.14268616,2023-07-29
6,0.14224264,2023-07-29
