component,raw,normalized,driver,date
c1,0.00000000,0.00000000,c3_limitation,2024-12-19
c2,0.99014618,0.46044757,c3_limitation,2024-12-19
c3,1.01970763,1.00000000,c3_limitation,2024-12-19
