timestep,alpha_t,date
0,0.23835452,2024-12-19
1,0.12793279,2024-12-19
2,0.11746747,2024-12-19
3,0.18252130,2024-12-19
4,0.11279224,2024-12-19
5,0.11187205,2024-12-19
6,0.10905965,2024-12-19
