component,raw,normalized,driver,date
c1,0.00330142,0.00941599,c2_reserve,2023-10-25
c2,1.00331021,0.48721755,c2_reserve,2023-10-25
c3,0.35576923,0.26986509,c2_reserve,2023-10-25
