timestep,alpha_t,date
0,0.13341674,2023-10-25
1,0.14105304,2023-10-25
2,0.13665470,2023-10-25
3,0.14287226,2023-10-25
4,0.14814110,2023-10-25
5,0.15544982,2023-10-25
6,0.14241235,2023-10-25
