node,shap_mass,attention_inflow,attention_outflow,demand_share,contribution,date
Barishal,9.51534653,1.49500740,1.00000000,,0.010244,2023-07-25
Chattogram,8.67732811,0.91896427,1.00000000,,0.009342,2023-07-25
Cumilla,22.51838493,1.23584962,1.00000000,,0.024244,2023-07-25
Dhaka,431.63616943,0.75523818,1.00000000,,0.464711,2023-07-25
Khulna,154.60925293,1.09246659,1.00000000,,0.166456,2023-07-25
Mymensingh,133.29031372,0.92172879,1.00000012,,0.143504,2023-07-25
Rajshahi,154.52598572,0.81407535,1.00000000,,0.166367,2023-07-25
Rangpur,2.72131443,0.02239029,1.00000000,,0.002930,2023-07-25
Sylhet,11.33273983,1.74427938,1.00000000,,0.012201,2023-07-25
