component,raw,normalized,driver,date
c1,0.01665415,0.04749939,c2_reserve,2023-07-25
c2,0.98298602,0.44588687,c2_reserve,2023-07-25
c3,0.19566078,0.05920066,c2_reserve,2023-07-25
