timestep,alpha_t,date
0,0.14721192,2023-07-25
1,0.14393179,2023-07-25
2,0.14173344,2023-07-25
3,0.14004903,2023-07-25
4,0.14328095,2023-07-25
5,0.14276956,2023-07-25
6,0.14102326,2023-07-25
