component,raw,normalized,driver,date
c1,0.12850072,0.36649749,c2_reserve,2024-09-08
c2,1.14721391,0.77985585,c2_reserve,2024-09-08
c3,0.56662391,0.54729941,c2_reserve,2024-09-08
