node,shap_mass,attention_inflow,attention_outflow,demand_share,contribution,date
Barishal,7.37826967,1.31684446,1.00000000,,0.007026,2024-09-08
Chattogram,6.88112211,1.01356888,0.99999994,,0.006552,2024-09-08
Cumilla,39.57042313,0.99879700,1.00000000,,0.037680,2024-09-08
Dhaka,504.68560791,0.80923110,1.00000000,,0.480581,2024-09-08
Khulna,134.87994385,1.09687030,1.00000000,,0.128438,2024-09-08
Mymensingh,141.34663391,1.08807421,1.00000000,,0.134596,2024-09-08
Rajshahi,199.76712036,0.72460705,1.00000000,,0.190226,2024-09-08
Rangpur,3.40735817,0.04065832,1.00000000,,0.003245,2024-09-08
Sylhet,12.24095631,1.91134870,1.00000000,,0.011656,2024-09-08
