timestep,alpha_t,date
0,0.14039430,2024-09-08
1,0.13902356,2024-09-08
2,0.14575861,2024-09-08
3,0.15347210,2024-09-08
4,0.14114155,2024-09-08
5,0.13827585,2024-09-08
6,0.14193407,2024-09-08
