group_id,phi,task,region_index,date
G1,-0.00625840,stress,,2023-09-28
G3,0.00062689,stress,,2023-09-28
G5,0.00128795,stress,,2023-09-28
G6,0.01991028,stress,,2023-09-28
G7,0.00389893,stress,,2023-09-28
G8,-0.04089676,stress,,2023-09-28
G10,0.01156642,stress,,2023-09-28
G11,0.00191662,stress,,2023-09-28
