component,raw,normalized,driver,date
c1,0.00614260,0.01751934,c2_reserve,2023-09-28
c2,0.99674773,0.47387227,c2_reserve,2023-09-28
c3,0.23224185,0.10733261,c2_reserve,2023-09-28
