node,shap_mass,attention_inflow,attention_outflow,demand_share,contribution,date
Barishal,9.82398510,1.54000902,1.00000000,,0.012415,2023-09-28
Chattogram,6.65623093,0.92840272,1.00000000,,0.008412,2023-09-28
Cumilla,12.94917679,1.13730693,1.00000000,,0.016365,2023-09-28
Dhaka,388.84823608,0.74202710,1.00000012,,0.491420,2023-09-28
Khulna,104.92987823,1.05994868,0.99999994,,0.132609,2023-09-28
Mymensingh,137.04135132,1.03246832,1.00000000,,0.173190,2023-09-28
Rajshahi,117.56424713,0.84134877,1.00000000,,0.148576,2023-09-28
Rangpur,1.28244042,0.02042446,1.00000000,,0.001621,2023-09-28
Sylhet,12.17996120,1.69806409,1.00000000,,0.015393,2023-09-28
