timestep,alpha_t,date
0,0.14755647,2023-09-28
1,0.14302340,2023-09-28
2,0.14499138,2023-09-28
3,0.13917188,2023-09-28
4,0.14019710,2023-09-28
5,0.14161979,2023-09-28
6,0.14343999,2023-09-28
