component,raw,normalized,driver,date
c1,0.04039924,0.11522286,c2_reserve,2023-09-16
c2,1.04363662,0.56922414,c2_reserve,2023-09-16
c3,0.28297261,0.17408215,c2_reserve,2023-09-16
