node,shap_mass,attention_inflow,attention_outflow,demand_share,contribution,date
Barishal,9.41681194,1.37669265,1.00000000,,0.010585,2023-09-16
Chattogram,6.77999687,0.95895010,0.99999994,,0.007621,2023-09-16
Cumilla,22.28504753,1.11739528,0.99999994,,0.025050,2023-09-16
Dhaka,398.89654541,0.76718789,1.00000000,,0.448383,2023-09-16
Khulna,136.54568481,1.05424833,1.00000000,,0.153485,2023-09-16
Mymensingh,161.22828674,1.00841570,0.99999994,,0.181230,2023-09-16
Rajshahi,139.02244568,0.83379644,1.00000000,,0.156269,2023-09-16
Rangpur,2.58372688,0.02338988,1.00000000,,0.002904,2023-09-16
Sylhet,12.87541962,1.85992396,1.00000000,,0.014473,2023-09-16
