timestep,alpha_t,date
0,0.14294508,2023-09-16
1,0.14374140,2023-09-16
2,0.14348483,2023-09-16
3,0.14220028,2023-09-16
4,0.14270405,2023-09-16
5,0.14279173,2023-09-16
6,0.14213261,2023-09-16
