component,raw,normalized,driver,date
c1,0.09337313,0.26630993,c2_reserve,2024-04-28
c2,1.10291760,0.68977619,c2_reserve,2024-04-28
c3,0.20807951,0.07554075,c2_reserve,2024-04-28
