node,shap_mass,attention_inflow,attention_outflow,demand_share,contribution,date
Barishal,9.89723396,1.38541985,0.99999994,,0.009792,2024-04-28
Chattogram,11.18988895,0.70696086,1.00000000,,0.011070,2024-04-28
Cumilla,51.60763931,1.13067770,0.99999994,,0.051057,2024-04-28
Dhaka,363.31671143,0.89398730,1.00000000,,0.359438,2024-04-28
Khulna,159.99339294,1.10938346,1.00000000,,0.158285,2024-04-28
Mymensingh,180.41950989,1.11427557,1.00000000,,0.178493,2024-04-28
Rajshahi,225.10240173,0.76674861,1.00000000,,0.222699,2024-04-28
Rangpur,3.35473871,0.03171739,1.00000000,,0.003319,2024-04-28
Sylhet,5.91014147,1.86082911,1.00000000,,0.005847,2024-04-28
