group_id,phi,task,region_index,date
G1,-0.00917725,stress,,2024-04-28
G3,0.01386975,stress,,2024-04-28
G5,0.00277777,stress,,2024-04-28
G6,0.00780803,stress,,2024-04-28
G7,0.06130589,stress,,2024-04-28
G8,-0.03995524,stress,,2024-04-28
G10,0.01622339,stress,,2024-04-28
G11,0.00205752,stress,,2024-04-28
