node,shap_mass,attention_inflow,attention_outflow,demand_share,contribution,date
Barishal,3.21115804,1.24873078,1.00000000,,0.007290,2023-12-31
Chattogram,1.87462831,0.88443589,1.00000000,,0.004256,2023-12-31
Cumilla,9.56272411,1.26506507,1.00000000,,0.021708,2023-12-31
Dhaka,204.73350525,0.69209403,0.99999994,,0.464761,2023-12-31
Khulna,78.32403564,1.11171424,1.00000000,,0.177802,2023-12-31
Mymensingh,55.17675781,1.10130095,1.00000000,,0.125256,2023-12-31
Rajshahi,79.76821136,0.80746293,1.00000012,,0.181080,2023-12-31
Rangpur,0.48058322,0.63384151,1.00000000,,0.001091,2023-12-31
Sylhet,7.38204622,1.25535464,1.00000000,,0.016758,2023-12-31
