timestep,alpha_t,date
0,0.14249831,2023-12-31
1,0.12996614,2023-12-31
2,0.13235629,2023-12-31
3,0.14041761,2023-12-31
4,0.12324002,2023-12-31
5,0.13287430,2023-12-31
6,0.19864747,2023-12-31
