component,raw,normalized,driver,date
c1,0.00000000,0.00000000,c3_limitation,2023-12-31
c2,1.00000000,0.48048600,c3_limitation,2023-12-31
c3,0.77564360,0.82231932,c3_limitation,2023-12-31
