group_id,phi,task,region_index,date
G1,77.71726074,demand,3,
G2,77.41254082,demand,3,
G3,2.28269424,demand,3,
G4,101.25675278,demand,3,
G5,69.45186156,demand,3,
G6,162.33954468,demand,3,
G7,85.84384742,demand,3,
G8,23.14665523,demand,3,
G9,10.86901322,demand,3,
G10,91.43615760,demand,3,
