node,shap_mass,attention_inflow,attention_outflow,demand_share,contribution,date
Barishal,10.04089642,1.60267806,1.00000000,,0.010427,2023-07-27
Chattogram,8.11010075,0.92373002,1.00000000,,0.008422,2023-07-27
Cumilla,21.01655579,1.24984396,1.00000000,,0.021825,2023-07-27
Dhaka,483.37786865,0.72914028,1.00000000,,0.501967,2023-07-27
Khulna,137.80967712,1.08062935,1.00000000,,0.143110,2023-07-27
Mymensingh,138.56642151,0.92757326,1.00000000,,0.143895,2023-07-27
Rajshahi,150.23320007,0.82822716,1.00000000,,0.156011,2023-07-27
Rangpur,3.37701225,0.02549786,1.00000000,,0.003507,2023-07-27
Sylhet,10.43469906,1.63268018,1.00000000,,0.010836,2023-07-27
