group_id,phi,task,region_index,date
G1,-0.00523081,stress,,2023-07-27
G3,0.00216368,stress,,2023-07-27
G5,0.00270253,stress,,2023-07-27
G6,0.01366660,stress,,2023-07-27
G7,0.01672579,stress,,2023-07-27
G8,-0.04522983,stress,,2023-07-27
G10,0.01323307,stress,,2023-07-27
G11,0.00174647,stress,,2023-07-27
