timestep,alpha_t,date
0,0.14385320,2023-07-27
1,0.14185707,2023-07-27
2,0.14464943,2023-07-27
3,0.14461124,2023-07-27
4,0.14270304,2023-07-27
5,0.14045902,2023-07-27
6,0.14186698,2023-07-27
