component,raw,normalized,driver,date
c1,0.01411231,0.04024980,c2_reserve,2023-07-27
c2,1.01017237,0.50117222,c2_reserve,2023-07-27
c3,0.19779599,0.06201009,c2_reserve,2023-07-27
