component,raw,normalized,driver,date
c1,0.00000000,0.00000000,c3_limitation,2024-01-06
c2,1.00000000,0.48048600,c3_limitation,2024-01-06
c3,0.95835565,1.00000000,c3_limitation,2024-01-06
