timestep,alpha_t,date
0,0.15606561,2024-01-06
1,0.12515029,2024-01-06
2,0.12723155,2024-01-06
3,0.13454169,2024-01-06
4,0.11773473,2024-01-06
5,0.15757501,2024-01-06
6,0.18170114,2024-01-06
