node,shap_mass,attention_inflow,attention_outflow,demand_share,contribution,date
Barishal,11.98630524,1.58462667,1.00000000,,0.012789,2023-07-04
Chattogram,6.34402180,0.94241482,1.00000000,,0.006769,2023-07-04
Cumilla,6.13441324,1.16009331,1.00000000,,0.006545,2023-07-04
Dhaka,601.71240234,0.65141547,0.99999994,,0.642024,2023-07-04
Khulna,131.66387939,0.98965108,1.00000000,,0.140485,2023-07-04
Mymensingh,86.68319702,1.13310587,0.99999988,,0.092490,2023-07-04
Rajshahi,80.86861420,0.87144208,1.00000000,,0.086286,2023-07-04
Rangpur,2.18761730,0.11500937,1.00000000,,0.002334,2023-07-04
Sylhet,9.63194275,1.55224133,1.00000000,,0.010277,2023-07-04
