timestep,alpha_t,date
0,0.13837770,2023-07-04
1,0.14011620,2023-07-04
2,0.14061913,2023-07-04
3,0.14433120,2023-07-04
4,0.14209561,2023-07-04
5,0.13626897,2023-07-04
6,0.15819120,2023-07-04
