component,raw,normalized,driver,date
c1,0.02576144,0.07347432,c2_reserve,2023-07-24
c2,1.02659082,0.53456030,c2_reserve,2023-07-24
c3,0.20359836,0.06964462,c2_reserve,2023-07-24
