node,shap_mass,attention_inflow,attention_outflow,demand_share,contribution,date
Barishal,9.18383026,1.40730894,1.00000000,,0.009516,2023-07-24
Chattogram,10.54374695,0.90326649,1.00000000,,0.010925,2023-07-24
Cumilla,26.18029976,1.27696598,1.00000000,,0.027127,2023-07-24
Dhaka,432.14630127,0.76413661,0.99999994,,0.447766,2023-07-24
Khulna,174.68345642,1.03487527,1.00000000,,0.180997,2023-07-24
Mymensingh,135.09506226,0.94613618,0.99999994,,0.139978,2023-07-24
Rajshahi,163.49223328,0.81728089,0.99999994,,0.169401,2023-07-24
Rangpur,3.05644441,0.04152572,1.00000000,,0.003167,2023-07-24
Sylhet,10.73551369,1.80850399,1.00000000,,0.011124,2023-07-24
