timestep,alpha_t,date
0,0.14282951,2023-07-24
1,0.14676325,2023-07-24
2,0.14377964,2023-07-24
3,0.14143029,2023-07-24
4,0.13965063,2023-07-24
5,0.14274840,2023-07-24
6,0.14279839,2023-07-24
