node,shap_mass,attention_inflow,attention_outflow,demand_share,contribution,date
Barishal,3.34977365,1.24121892,1.00000000,,0.007568,2024-02-08
Chattogram,5.32094145,0.92741799,1.00000000,,0.012022,2024-02-08
Cumilla,6.69017792,1.24082410,0.99999994,,0.015115,2024-02-08
Dhaka,299.67733765,0.71869057,1.00000000,,0.677057,2024-02-08
Khulna,55.09851456,1.14479804,1.00000000,,0.124483,2024-02-08
Mymensingh,18.44045448,1.06765449,1.00000012,,0.041662,2024-02-08
Rajshahi,43.95489120,0.78499615,0.99999994,,0.099307,2024-02-08
Rangpur,1.71717584,0.65152454,0.99999994,,0.003880,2024-02-08
Sylhet,8.36821747,1.22287512,1.00000000,,0.018906,2024-02-08
