timestep,alpha_t,date
0,0.28464511,2024-02-08
1,0.13118555,2024-02-08
2,0.12606174,2024-02-08
3,0.11848019,2024-02-08
4,0.12029978,2024-02-08
5,0.11094602,2024-02-08
6,0.10838150,2024-02-08
