group_id,phi,task,region_index,date
G1,0.00425929,stress,,2024-02-08
G3,-0.00095997,stress,,2024-02-08
G5,0.01501634,stress,,2024-02-08
G6,0.00633062,stress,,2024-02-08
G7,0.00028226,stress,,2024-02-08
G8,0.05312474,stress,,2024-02-08
G10,-0.00217384,stress,,2024-02-08
G11,0.00089123,stress,,2024-02-08
