component,raw,normalized,driver,date
c1,0.00613874,0.01750832,c3_limitation,2024-02-08
c2,0.96639090,0.41213952,c3_limitation,2024-02-08
c3,0.50961737,0.47229244,c3_limitation,2024-02-08
