variant_id,model_name,graph_variant,has_transformer,demand_mae,demand_rmse,demand_mape,demand_r2,stress_mae,stress_rmse,stress_r2,total_parameters,active_parameters,graph_undirected_edges,training_seconds,inference_ms_per_batch32
S1,PF-STGT (W20),hybrid,True,93.30838012695312,128.80889892578125,6.759908199310303,0.6742769877115885,0.04993324726819992,0.06032226234674454,0.5848594903945923,749058,749058,24,413.4635273749991,5.902671333589954
S2,Correlation-Only PF-STGT,corr,True,88.64871215820312,127.28925323486328,6.55033016204834,0.6837704512808058,0.03708165884017944,0.04726717621088028,0.7451062798500061,749058,749058,33,393.07836212500115,5.777875108631431
S3,No-Transformer PF-STGT,hybrid,False,92.64362335205078,127.132568359375,6.835455417633057,0.6706136531300015,0.040543120354413986,0.051234494894742966,0.7005220651626587,749058,451202,24,366.9593455420036,4.970763778449812
S4,Correlation-Only + No-Transformer,corr,False,114.63068389892578,160.8496551513672,9.108541488647461,0.3617042965359158,0.037814583629369736,0.04711227864027023,0.7467740774154663,749058,451202,33,308.83524770799704,5.0846066668681384
