component,raw,normalized,driver,date
c1,0.07380074,0.21048743,c2_reserve,2023-07-18
c2,1.07973422,0.64263115,c2_reserve,2023-07-18
c3,0.28322259,0.17441107,c2_reserve,2023-07-18
