timestep,alpha_t,date
0,0.14446202,2023-07-18
1,0.14181937,2023-07-18
2,0.14388505,2023-07-18
3,0.13885224,2023-07-18
4,0.14255501,2023-07-18
5,0.14289710,2023-07-18
6,0.14552918,2023-07-18
