node,shap_mass,attention_inflow,attention_outflow,demand_share,contribution,date
Barishal,10.44796276,1.59119940,1.00000000,,0.012390,2023-07-18
Chattogram,6.57779932,0.97718364,1.00000000,,0.007801,2023-07-18
Cumilla,31.52712059,1.15904689,1.00000000,,0.037388,2023-07-18
Dhaka,357.50488281,0.72357202,0.99999994,,0.423962,2023-07-18
Khulna,151.67425537,1.03180707,0.99999994,,0.179869,2023-07-18
Mymensingh,126.65946960,1.01260614,1.00000000,,0.150204,2023-07-18
Rajshahi,143.34025574,0.83574885,0.99999994,,0.169986,2023-07-18
Rangpur,3.79199171,0.03524185,1.00000012,,0.004497,2023-07-18
Sylhet,11.72362041,1.63359427,1.00000000,,0.013903,2023-07-18
